Horná Štubňa,038 46,71
Horná Tižina,013 06,79
Horná Trnávka,966 01,78
Horná Ves,967 01,78
Horná Ves,972 48,50
Horná Závrská,913 33,69
Horná Zlatná,946 12,22
Horná Ždaňa,966 04,78
Horňany,913 24,69
Horné Breziny,962 61,76
Horné Držkovce,956 54,1
Horné Dubové,919 65,70
Horné Hámre,966 71,77
Horné Chlebany,956 31,67
Horné Janíky,930 39,15
Horné Jaseno,038 02,35
Horné Kočkovce,020 01,51
Horné Košariská,906 15,38
Horné Krškany,949 05,40
Horné Lefantovce,951 45,40
Horné Lelovce,972 71,50
Horné Lovčice,919 27,70
Horné Mladonice,962 43,28
Horné Motešice,913 26,69
Horné Mýto,930 13,15
Horné Naštice,956 41,1
Horné Obdokovce,956 08,67
Horné Orešany,919 03,70
Horné Otrokovce,920 62,18
Horné Ozorovce,957 03,1
Horné Plachtince,991 24,73
Horné Príbelce,991 25,73
Horné Pršany,974 05,2
Horné Rykynčice,962 55,28
Horné Saliby,925 03,16
Horné Saliby - časť Hrušov,925 02,16
Horné Semerovce,935 84,30
Horné Sľažany,951 71,75
Horné Srnie,914 42,69
Horné Strháre,991 03,73
Horné Štitáre,956 03,67
Horné Trhovište,920 66,18
Horné Turovce,935 81,30
Horné Vestenice,972 22,50
Horné Zahorany,980 26,53
Horné Zelenice,920 52,18
Horný Badín,962 51,28
Horný Bar,930 33,15
Horný Čepeň,926 01,16
Horný Ďur,935 34,30
Horný Hričov,013 42,79
Horný Jalšovík,962 41,28
Horný Jatov,925 71,66
Horný Jelenec,976 02,2
Horný Kalník,038 02,35
Horný Lieskov,018 21,48
Horný Moštenec,017 01,48
Horný Ohaj,952 01,40
Horný Pial,935 37,30
Horný Smokovec,062 01,47
Horný Štefanov,027 44,72
Horný Tisovník,962 75,13
Horný Turček,038 48,71
Horný Vadičov,023 45,29
Horný Vinodol,951 06,40
Horovce,020 62,51
Horovce,072 02,37
Horša,934 01,30
Hoste,925 45,16
Hostice,980 04,53
Hostie,951 94,75
Hostišovce,980 23,53
Hosťová,951 02,40
Hosťovce,044 02,27
Hosťovce,951 91,75
Hostovice,067 35,60
Hoštiná,020 01,51
Hozelec,059 11,47
Hôrka,059 12,47
Hôrka nad Váhom,916 32,41
Hôrky,010 04,79
Hrabičov,966 78,77
Hrabkov,082 33,49
Hrabová Roztoka,067 73,60
Hrabovčík,089 01,65
Hrabové,014 01,11
Hrabovec,086 11,4
Hrabovec nad Laborcom,067 01,19
Hrabovka,020 01,51
Hrabovka,913 32,69
Hrabovo,985 01,46
Hrabské,086 06,4
